items,hedge,keys,size,p
502,1.386454,4,696,0.995833
503,1.39165,4,700,0.995833
504,1.388889,4,700,0.995833
505,1.386139,4,700,0.995833
506,1.391304,4,704,0.995833
507,1.38856,4,704,0.995833
508,1.385827,4,704,0.995833
509,1.390963,4,708,0.995833
510,1.388235,4,708,0.995833
511,1.385519,4,708,0.995833
512,1.390625,4,712,0.995833
513,1.387914,4,712,0.995833
514,1.385214,4,712,0.995833
515,1.390291,4,716,0.995833
516,1.387597,4,716,0.995833
517,1.384913,4,716,0.995833
518,1.382239,4,716,0.995833
519,1.387283,4,720,0.995833
520,1.384615,4,720,0.995833
521,1.381958,4,720,0.995833
522,1.386973,4,724,0.995833
523,1.384321,4,724,0.995833
524,1.389313,4,728,0.995833
525,1.386667,4,728,0.995833
526,1.38403,4,728,0.995833
527,1.381404,4,728,0.995833
528,1.386364,4,732,0.995833
529,1.383743,4,732,0.995833
530,1.388679,4,736,0.995833
531,1.386064,4,736,0.995833
532,1.383459,4,736,0.995833
533,1.380863,4,736,0.995833
534,1.3857680000000001,4,740,0.995833
535,1.383178,4,740,0.995833
536,1.38806,4,744,0.995833
537,1.385475,4,744,0.995833
538,1.390335,4,748,0.995833
539,1.387755,4,748,0.995833
540,1.3851850000000001,4,748,0.995833
541,1.382625,4,748,0.995833
542,1.387454,4,752,0.995833
543,1.384899,4,752,0.995833
544,1.382353,4,752,0.995833
545,1.387156,4,756,0.995833
546,1.384615,4,756,0.995833
547,1.382084,4,756,0.995833
548,1.386861,4,760,0.995833
549,1.384335,4,760,0.995833
550,1.381818,4,760,0.995833
551,1.38657,4,764,0.995833
552,1.384058,4,764,0.995833
553,1.381555,4,764,0.995833
554,1.386282,4,768,0.995833
555,1.383784,4,768,0.995833
556,1.381295,4,768,0.995833
557,1.385996,4,772,0.995833
558,1.383513,4,772,0.995833
559,1.381038,4,772,0.995833
560,1.385714,4,776,0.995833
561,1.383244,4,776,0.995833
562,1.380783,4,776,0.995833
563,1.385435,4,780,0.995833
564,1.382979,4,780,0.995833
565,1.380531,4,780,0.995833
566,1.378092,4,780,0.995833
567,1.382716,4,784,0.995833
568,1.380282,4,784,0.995833
569,1.384886,4,788,0.995833
570,1.382456,4,788,0.995833
571,1.380035,4,788,0.995833
572,1.384615,4,792,0.995833
573,1.382199,4,792,0.995833
574,1.38676,4,796,0.995833
575,1.377391,4,792,0.995833
576,1.381944,4,796,0.995833
577,1.379549,4,796,0.995833
578,1.384083,4,800,0.995833
579,1.381693,4,800,0.995833
580,1.37931,4,800,0.995833
581,1.383821,4,804,0.995833
582,1.381443,4,804,0.995833
583,1.379074,4,804,0.995833
584,1.383562,4,808,0.995833
585,1.381197,4,808,0.995833
586,1.37884,4,808,0.995833
587,1.383305,4,812,0.995833
588,1.380952,4,812,0.995833
589,1.378608,4,812,0.995833
590,1.383051,4,816,0.995833
591,1.380711,4,816,0.995833
592,1.378378,4,816,0.995833
593,1.382799,4,820,0.995833
594,1.380471,4,820,0.995833
595,1.378151,4,820,0.995833
596,1.38255,4,824,0.995833
597,1.380235,4,824,0.995833
598,1.377926,4,824,0.995833
599,1.382304,4,828,0.995833
600,1.38,4,828,0.995833
601,1.377704,4,828,0.995833
602,1.38206,4,832,0.995833
603,1.379768,4,832,0.995833
604,1.377483,4,832,0.995833
605,1.381818,4,836,0.995833
606,1.379538,4,836,0.995833
607,1.383855,4,840,0.995833
608,1.381579,4,840,0.995833
609,1.37931,4,840,0.995833
610,1.377049,4,840,0.995833
611,1.381342,4,844,0.995833
612,1.379085,4,844,0.995833
613,1.376835,4,844,0.995833
614,1.381107,4,848,0.995833
615,1.378862,4,848,0.995833
616,1.376623,4,848,0.995833
617,1.380875,4,852,0.995833
618,1.378641,4,852,0.995833
619,1.376414,4,852,0.995833
620,1.374194,4,852,0.995833
621,1.378422,4,856,0.995833
622,1.376206,4,856,0.995833
623,1.380417,4,860,0.995833
624,1.378205,4,860,0.995833
625,1.3824,4,864,0.995833
626,1.373802,4,860,0.995833
627,1.37799,4,864,0.995833
628,1.375796,4,864,0.995833
629,1.379968,4,868,0.995833
630,1.377778,4,868,0.995833
631,1.375594,4,868,0.995833
632,1.379747,4,872,0.995833
633,1.377567,4,872,0.995833
634,1.375394,4,872,0.995833
635,1.373228,4,872,0.995833
636,1.377358,4,876,0.995833
637,1.375196,4,876,0.995833
638,1.37931,4,880,0.995833
639,1.377152,4,880,0.995833
640,1.38125,4,884,0.995833
641,1.379095,4,884,0.995833
642,1.376947,4,884,0.995833
643,1.374806,4,884,0.995833
644,1.378882,4,888,0.995833
645,1.376744,4,888,0.995833
646,1.374613,4,888,0.995833
647,1.378671,4,892,0.995833
648,1.376543,4,892,0.995833
649,1.374422,4,892,0.995833
650,1.378462,4,896,0.995833
651,1.376344,4,896,0.995833
652,1.374233,4,896,0.995833
653,1.378254,4,900,0.995833
654,1.376147,4,900,0.995833
655,1.374046,4,900,0.995833
656,1.378049,4,904,0.995833
657,1.38204,4,908,0.995833
658,1.37386,4,904,0.995833
659,1.377845,4,908,0.995833
660,1.375758,4,908,0.995833
661,1.373676,4,908,0.995833
662,1.371601,4,908,0.995833
663,1.375566,4,912,0.995833
664,1.373494,4,912,0.995833
665,1.377444,4,916,0.995833
666,1.375375,4,916,0.995833
667,1.373313,4,916,0.995833
668,1.377246,4,920,0.995833
669,1.375187,4,920,0.995833
670,1.373134,4,920,0.995833
671,1.371088,4,920,0.995833
672,1.375,4,924,0.995833
673,1.372957,4,924,0.995833
674,1.376855,4,928,0.995833
675,1.374815,4,928,0.995833
676,1.372781,4,928,0.995833
677,1.376662,4,932,0.995833
678,1.374631,4,932,0.995833
679,1.372607,4,932,0.995833
680,1.376471,4,936,0.995833
681,1.374449,4,936,0.995833
682,1.372434,4,936,0.995833
683,1.376281,4,940,0.995833
684,1.374269,4,940,0.995833
685,1.372263,4,940,0.995833
686,1.376093,4,944,0.995833
687,1.37409,4,944,0.995833
688,1.372093,4,944,0.995833
689,1.375907,4,948,0.995833
690,1.373913,4,948,0.995833
691,1.371925,4,948,0.995833
692,1.369942,4,948,0.995833
693,1.373737,4,952,0.995833
694,1.371758,4,952,0.995833
695,1.37554,4,956,0.995833
696,1.373563,4,956,0.995833
697,1.371593,4,956,0.995833
698,1.369628,4,956,0.995833
699,1.373391,4,960,0.995833
700,1.371429,4,960,0.995833
701,1.375178,4,964,0.995833
702,1.373219,4,964,0.995833
703,1.371266,4,964,0.995833
704,1.375,4,968,0.995833
705,1.37305,4,968,0.995833
706,1.371105,4,968,0.995833
707,1.369165,4,968,0.995833
708,1.372881,4,972,0.995833
709,1.370945,4,972,0.995833
710,1.374648,4,976,0.995833
711,1.372714,4,976,0.995833
712,1.370787,4,976,0.995833
713,1.374474,4,980,0.995833
714,1.372549,4,980,0.995833
715,1.370629,4,980,0.995833
716,1.368715,4,980,0.995833
717,1.372385,4,984,0.995833
718,1.370474,4,984,0.995833
719,1.374131,4,988,0.995833
720,1.372222,4,988,0.995833
721,1.370319,4,988,0.995833
722,1.373961,4,992,0.995833
723,1.372061,4,992,0.995833
724,1.370166,4,992,0.995833
725,1.368276,4,992,0.995833
726,1.371901,4,996,0.995833
727,1.370014,4,996,0.995833
728,1.373626,4,1000,0.995833
729,1.371742,4,1000,0.995833
730,1.369863,4,1000,0.995833
731,1.373461,4,1004,0.995833
732,1.371585,4,1004,0.995833
733,1.369714,4,1004,0.995833
734,1.367847,4,1004,0.995833
735,1.371429,4,1008,0.995833
736,1.369565,4,1008,0.995833
737,1.367707,4,1008,0.995833
738,1.371274,4,1012,0.995833
739,1.369418,4,1012,0.995833
740,1.372973,4,1016,0.995833
741,1.37112,4,1016,0.995833
742,1.369272,4,1016,0.995833
743,1.372813,4,1020,0.995833
744,1.370968,4,1020,0.995833
745,1.369128,4,1020,0.995833
746,1.367292,4,1020,0.995833
747,1.370817,4,1024,0.995833
748,1.368984,4,1024,0.995833
749,1.372497,4,1028,0.995833
750,1.370667,4,1028,0.995833
751,1.368842,4,1028,0.995833
752,1.37234,4,1032,0.995833
753,1.370518,4,1032,0.995833
754,1.3687,4,1032,0.995833
755,1.372185,4,1036,0.995833
756,1.37037,4,1036,0.995833
757,1.36856,4,1036,0.995833
758,1.372032,4,1040,0.995833
759,1.370224,4,1040,0.995833
760,1.368421,4,1040,0.995833
761,1.366623,4,1040,0.995833
762,1.370079,4,1044,0.995833
763,1.368283,4,1044,0.995833
764,1.366492,4,1044,0.995833
765,1.369935,4,1048,0.995833
766,1.368146,4,1048,0.995833
767,1.371578,4,1052,0.995833
768,1.369792,4,1052,0.995833
769,1.36801,4,1052,0.995833
770,1.366234,4,1052,0.995833
771,1.36965,4,1056,0.995833
772,1.367876,4,1056,0.995833
773,1.366106,4,1056,0.995833
774,1.369509,4,1060,0.995833
775,1.367742,4,1060,0.995833
776,1.371134,4,1064,0.995833
777,1.369369,4,1064,0.995833
778,1.367609,4,1064,0.995833
779,1.365854,4,1064,0.995833
780,1.369231,4,1068,0.995833
781,1.367478,4,1068,0.995833
782,1.370844,4,1072,0.995833
783,1.369093,4,1072,0.995833
784,1.367347,4,1072,0.995833
785,1.365605,4,1072,0.995833
786,1.368957,4,1076,0.995833
787,1.367217,4,1076,0.995833
788,1.370558,4,1080,0.995833
789,1.368821,4,1080,0.995833
790,1.367089,4,1080,0.995833
791,1.36536,4,1080,0.995833
792,1.368687,4,1084,0.995833
793,1.366961,4,1084,0.995833
794,1.365239,4,1084,0.995833
795,1.368553,4,1088,0.995833
796,1.366834,4,1088,0.995833
797,1.365119,4,1088,0.995833
798,1.368421,4,1092,0.995833
799,1.366708,4,1092,0.995833
800,1.365,4,1092,0.995833
801,1.36829,4,1096,0.995833
802,1.366584,4,1096,0.995833
803,1.364882,4,1096,0.995833
804,1.368159,4,1100,0.995833
805,1.36646,4,1100,0.995833
806,1.364764,4,1100,0.995833
807,1.36803,4,1104,0.995833
808,1.366337,4,1104,0.995833
809,1.364648,4,1104,0.995833
810,1.367901,4,1108,0.995833
811,1.366215,4,1108,0.995833
812,1.364532,4,1108,0.995833
813,1.367774,4,1112,0.995833
814,1.366093,4,1112,0.995833
815,1.369325,4,1116,0.995833
816,1.367647,4,1116,0.995833
817,1.365973,4,1116,0.995833
818,1.364303,4,1116,0.995833
819,1.367521,4,1120,0.995833
820,1.365854,4,1120,0.995833
821,1.36419,4,1120,0.995833
822,1.367397,4,1124,0.995833
823,1.365735,4,1124,0.995833
824,1.364078,4,1124,0.995833
825,1.367273,4,1128,0.995833
826,1.365617,4,1128,0.995833
827,1.363966,4,1128,0.995833
828,1.36715,4,1132,0.995833
829,1.365501,4,1132,0.995833
830,1.363855,4,1132,0.995833
831,1.367028,4,1136,0.995833
832,1.365385,4,1136,0.995833
833,1.368547,4,1140,0.995833
834,1.36211,4,1136,0.995833
835,1.365269,4,1140,0.995833
836,1.363636,4,1140,0.995833
837,1.366786,4,1144,0.995833
838,1.365155,4,1144,0.995833
839,1.363528,4,1144,0.995833
840,1.366667,4,1148,0.995833
841,1.365042,4,1148,0.995833
842,1.36342,4,1148,0.995833
843,1.366548,4,1152,0.995833
844,1.364929,4,1152,0.995833
845,1.363314,4,1152,0.995833
846,1.36643,4,1156,0.995833
847,1.364817,4,1156,0.995833
848,1.367925,4,1160,0.995833
849,1.3663130000000001,4,1160,0.995833
850,1.364706,4,1160,0.995833
851,1.363102,4,1160,0.995833
852,1.366197,4,1164,0.995833
853,1.364596,4,1164,0.995833
854,1.367681,4,1168,0.995833
855,1.366082,4,1168,0.995833
856,1.364486,4,1168,0.995833
857,1.362894,4,1168,0.995833
858,1.361305,4,1168,0.995833
859,1.364377,4,1172,0.995833
860,1.362791,4,1172,0.995833
861,1.365854,4,1176,0.995833
862,1.364269,4,1176,0.995833
863,1.362688,4,1176,0.995833
864,1.365741,4,1180,0.995833
865,1.364162,4,1180,0.995833
